val	probability
0	0.04857204370716983
1	0.006222004263645015
2	0.0008589548908357145
3	0.003332290718607167
4	0.007429530800241836
5	0.009757533225044007
6	0.010760885541541317
7	0.017578799911858983
8	0.024111394600229326
9	0.018418683487056966
10	0.021976024798523768
11	0.029929596584070958
12	0.03556174430484744
13	0.03507294223428499
14	0.04193729267522258
15	0.04499270406726134
16	0.04290552543325621
17	0.033874333672083444
18	0.041221435142602215
19	0.0471552904836837
20	0.04992907213788994
21	0.05101540519323489
22	0.054436028138793086
23	0.053430521828930794
24	0.04786261439094437
25	0.0459331605624373
26	0.045516762393673485
27	0.04192034339620563
28	0.03219790813244539
29	0.027509367636771583
30	0.018293043133639088
31	0.010286762512970329
